hour,t(sec),"S1 (kVA)",Ang1,"S2 (kVA)",Ang2,"S3 (kVA)",Ang3
0, 1.00000, 48.5015, -134.116, 32.9171, -144.407, 111.98, -154.889
0, 2.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 3.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 4.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 5.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 6.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 7.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 8.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 9.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 10.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 11.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 12.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 13.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 14.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 15.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 16.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 17.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 18.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 19.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 20.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 21.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 22.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 23.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 24.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 25.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 26.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 27.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 28.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 29.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 30.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 31.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 32.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 33.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 34.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 35.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 36.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 37.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 38.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 39.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 40.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 41.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 42.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 43.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 44.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 45.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 46.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 47.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 48.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 49.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 50.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 51.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 52.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 53.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 54.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 55.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 56.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 57.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 58.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 59.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 60.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 61.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 62.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 63.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 64.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 65.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 66.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 67.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 68.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 69.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 70.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 71.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 72.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 73.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 74.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 75.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 76.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 77.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 78.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 79.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 80.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 81.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 82.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 83.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 84.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 85.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 86.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 87.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 88.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 89.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 90.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 91.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 92.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 93.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 94.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 95.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 96.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
0, 97.00000, 48.5015, -134.116, 32.9171, -144.407, 111.982, -154.889
